Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
2364,   86,78875,0,240,55,12830,480,0,0,0,0,202,0,0,0,62,0,0,0,0,0,0,0,0,5495,18860,10590,0,0,0,0,57055,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3952,  133,100300,0,190,90,17915,480,0,1,0,0,30,0,0,0,64,0,0,0,0,0,0,0,0,0,55290,45670,0,0,0,0,17535,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1522,   85,52635,15530,380,2260,17900,480,16,0,18,0,38,0,0,0,206,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18200,      0,48930,5250,0,7685,13080,0,0,0,0,0,0,0,
2647,   86,73660,0,160,40,11995,720,0,0,0,0,30,0,0,0,61,0,0,0,0,0,366,0,0,5430,35965,22295,0,0,0,0,22165,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2470,  130,80500,0,95,110,14485,540,0,0,0,0,85,0,0,0,106,79,0,0,0,0,0,0,0,4180,14395,41510,0,0,0,0,18545,      0,0,0,0,0,0,0,0,0,0,0,0,16560,
1722,   90,54025,0,65,30,7680,480,196,0,0,0,30,0,0,0,63,0,0,0,0,0,0,0,0,8590,13470,19280,0,0,0,0,20460,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3141,  270,153340,0,80,85,37685,480,0,0,0,0,30,0,0,0,63,17,0,0,0,7,0,0,0,48280,23645,53440,0,0,0,0,65825,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3304,  170,119570,0,50,100,30090,630,65,0,5,30,30,0,0,0,92,0,0,0,25,0,0,0,0,17905,8385,65325,0,0,0,0,58195,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3192,  144,115075,865,55,155,33865,480,0,0,0,0,30,0,0,0,57,0,0,0,0,15,0,0,0,10755,21895,62845,0,0,0,0,38470,      0,0,0,0,0,0,0,0,0,0,0,0,16050,
1497,  127,68905,14740,90,540,16520,480,19,0,6,130,30,0,0,0,110,0,3,0,0,0,0,0,0,0,4515,0,0,0,0,0,13245,    375,23825,61925,0,665,0,0,0,0,0,0,0,0,
1682,   81,32865,435,0,120,7585,480,0,0,0,0,219,0,0,0,55,0,0,69,0,0,0,0,0,0,9530,31475,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2975,  129,125455,1610,110,240,41150,480,0,0,0,0,30,0,0,0,60,11,10,0,0,0,0,0,0,9805,44645,52550,0,0,0,0,35180,      0,0,0,0,0,0,0,0,0,0,0,0,26385,
3051,  144,125200,910,65,195,39225,480,0,0,0,0,30,0,0,0,64,0,12,0,0,0,0,0,0,31430,27390,56940,0,0,0,0,33925,      0,0,0,0,0,0,0,0,0,0,0,0,15910,
1133,  102,56465,18375,80,935,12505,480,0,0,0,0,40,0,0,0,240,27,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,11060,      0,20170,43460,0,12875,0,0,0,0,0,0,0,0,
2840,  101,130630,2115,55,185,26280,480,25,0,4,0,30,0,0,0,66,0,0,0,0,0,0,0,0,16340,35815,25685,0,0,0,0,62035,      0,0,0,0,0,0,0,0,0,0,0,0,19390,
2216,  195,74215,1405,150,170,19180,480,10,0,0,0,141,0,0,0,63,0,0,0,0,8,0,0,0,8310,0,27130,0,0,0,0,45705,      0,0,0,0,0,0,0,0,0,0,0,0,13975,
